Agent Name,Tweet URL,Author Profile Image,Author Display Name,Smart Engagement Points,Impressions Count,verified_tweet_id,twitter_handle,tweet_id,tweet_created_at,tweet_like_count,tweet_reply_count,tweet_retweet_count,tweet_quote_count,tweet_bookmark_count,tweet_impression_count,hashtag_count,mention_count,link_count,has_media,media_count,has_links,tweet_text_length,is_reply,is_quote,is_retweet,raw_tweet,dollar_count,mentions_used,links_used,hashtags_used,media_type
VVV,https://x.com/AmirOrmu/status/1885819487850577976,https://pbs.twimg.com/profile_images/1496143311073120262/LUvRWskl_normal.jpg,Amir Ormu,112,935795,1.88582E+18,AmirOrmu,1.88582E+18,2025-02-01 22:36:17+00:00,2846,410,384,255,581,936239,0,1,1,TRUE,1,TRUE,296,FALSE,FALSE,FALSE,".@AskVenice team has sold over $10.2M in $VVV tokens...

I've tracked all the $VVV team wallets and identified their clusters.

They received tokens 4 days prior to the launch, and insta dumped right after the launch.

And Coinbase launched it day on 1?

Wallets + Proof 🧵 https://t.co/breAefIGXX","$10.2M, $VVV, $VVV",,https://t.co/breAefIGXX,,photo
OPUS,https://x.com/AndreCronjeTech/status/1885054454212550812,https://pbs.twimg.com/profile_images/1590573382734692352/Y_tzJcdY_normal.jpg,Andre Cronje,27,383988,1.88505E+18,AndreCronjeTech,1.88505E+18,2025-01-30 19:56:19+00:00,1990,210,491,154,687,384390,0,0,1,FALSE,0,TRUE,23,FALSE,FALSE,FALSE,https://t.co/lz4B5VpE6i,,,https://t.co/lz4B5VpE6i,,
VIRTUAL,https://x.com/unusual_whales/status/1886750803681239471,https://pbs.twimg.com/profile_images/1714107328134516736/dLZGJPm7_normal.png,unusual_whales,28,1073757,1.88675E+18,unusual_whales,1.88675E+18,2025-02-04 12:17:00+00:00,6283,384,283,106,376,1095326,0,0,1,TRUE,1,TRUE,297,FALSE,FALSE,FALSE,"BREAKING: US Representative Michael Collins has continued to buy crypto currency.

He just disclosed buying $15K in $ETH and $30k in $VIRTUAL.

He sold VIRTUAL 9 days later, after being down an estimated 38%.

He has bought numerous other crypto over the last three months. https://t.co/qQMEUzxRtm","$15K, $ETH, $30k, $VIRTUAL.",,https://t.co/qQMEUzxRtm,,photo
Fartcoin,https://x.com/ErikVoorhees/status/1884988455723426022,https://pbs.twimg.com/profile_images/1866265437719117824/bOPwQJXE_normal.jpg,Erik Voorhees,57,329842,1.88499E+18,ErikVoorhees,1.88499E+18,2025-01-30 15:34:03+00:00,1339,315,129,78,131,330082,0,0,2,FALSE,0,TRUE,323,FALSE,TRUE,FALSE,"I think everyone knows that memecoins are literal zero-sum gambling... like roulette but with better odds, still negative ev.

In this context, memecoins are great. A new kind of casino, and casinos are fun.

For those who don't realize it's just gambling--those who have an… https://t.co/IfJXXlaFy6 https://t.co/5X2bQ4Lq9i",,,"https://t.co/IfJXXlaFy6, https://t.co/5X2bQ4Lq9i",,
Fartcoin,https://x.com/DegenerateNews/status/1885695926074823080,https://pbs.twimg.com/profile_images/1551586710873550848/8_M8f6ds_normal.jpg,DEGEN NEWS,38,438819,1.8857E+18,DegenerateNews,1.8857E+18,2025-02-01 14:25:17+00:00,2143,276,270,69,168,440361,0,2,1,TRUE,1,TRUE,96,FALSE,FALSE,FALSE,"ICYMI: @joerogan LAUGHED AT SOLANA MEMECOIN $FARTCOIN (@FartCoinOfSOL)

 https://t.co/3SlT6BWsZb",$FARTCOIN,@joerogan,https://t.co/3SlT6BWsZb,,video
AlphaArc,https://x.com/Darky1k/status/1886887438808711209,https://pbs.twimg.com/profile_images/1793826582169079808/57HJVU3r_normal.jpg,Darky,12,1013492,1.88689E+18,Darky1k,1.88689E+18,2025-02-04 21:19:56+00:00,3839,624,269,57,216,1104935,0,0,2,TRUE,1,TRUE,85,FALSE,TRUE,FALSE,"I told you

Thanks for playing $ALPHA https://t.co/uFXbd2iIrV https://t.co/eTRkbkwHxB",$ALPHA,,"https://t.co/uFXbd2iIrV, https://t.co/eTRkbkwHxB",,photo
aixbt,https://x.com/hmalviya9/status/1885541611666563090,https://pbs.twimg.com/profile_images/1785909064188530688/6pVGdxWW_normal.jpg,hitesh.eth,12,191940,1.88554E+18,hmalviya9,1.88554E+18,2025-02-01 04:12:06+00:00,1292,518,199,54,538,192176,0,0,2,TRUE,1,TRUE,329,FALSE,FALSE,FALSE,"Is the AI Agent Narrative Over?

AI Agent Narrative was the hottest narrative of the last month, giving easy 10x returns to everyone who decided to hop in during Oct-Nov. Coins like $VIRTUAL pulled 100x, $AIXBT went 1000x, and many other AI agent coins on Solana and Base ended up… https://t.co/9tyS7RWw0u https://t.co/AsEnj5UDas","$VIRTUAL, $AIXBT",,"https://t.co/9tyS7RWw0u, https://t.co/AsEnj5UDas",,photo
VIRTUAL,https://x.com/hmalviya9/status/1885541611666563090,https://pbs.twimg.com/profile_images/1785909064188530688/6pVGdxWW_normal.jpg,hitesh.eth,12,191940,1.88554E+18,hmalviya9,1.88554E+18,2025-02-01 04:12:06+00:00,1292,518,199,54,538,192176,0,0,2,TRUE,1,TRUE,329,FALSE,FALSE,FALSE,"Is the AI Agent Narrative Over?

AI Agent Narrative was the hottest narrative of the last month, giving easy 10x returns to everyone who decided to hop in during Oct-Nov. Coins like $VIRTUAL pulled 100x, $AIXBT went 1000x, and many other AI agent coins on Solana and Base ended up… https://t.co/9tyS7RWw0u https://t.co/AsEnj5UDas","$VIRTUAL, $AIXBT",,"https://t.co/9tyS7RWw0u, https://t.co/AsEnj5UDas",,photo
Luna by Virtuals,https://x.com/lynk0x/status/1886958412405035414,https://pbs.twimg.com/profile_images/1848910264051052546/Mu18BSYv_normal.jpg,lynk,3,91698,1.88696E+18,lynk0x,1.88696E+18,2025-02-05 02:01:58+00:00,1075,220,338,51,62,103167,0,0,2,TRUE,2,TRUE,107,FALSE,FALSE,FALSE,"I just locked 85% of supply.

$20M Locked.

Lets send this high

$LUNA to the moon. https://t.co/lTaQgqhaZe","$20M, $LUNA",,https://t.co/lTaQgqhaZe,,photo
ai16z,https://x.com/banditxbt/status/1886716370986959223,https://pbs.twimg.com/profile_images/1867913262005624834/CzyJXWZT_normal.jpg,banditxbt,21,282336,1.88672E+18,banditxbt,1.88672E+18,2025-02-04 10:00:10+00:00,1472,118,74,50,185,283537,0,0,2,TRUE,2,TRUE,298,FALSE,FALSE,FALSE,"On the 2nd of January, this wallet was up $40M on $ai16z and $ZEREBRO. However, for whatever reason decided to take 0 profit.

1 week later on the 9th of January, he sold $ZEREBRO, losing ~$1M.

1 day ago, he sold 21.34M $ai16z($9.18M), losing another ~$1M.

$42M roundtrip. https://t.co/FhIEMpj4Cj","$40M, $ai16z, $ZEREBRO., $ZEREBRO,, $ai16z($9.18M),, $42M",,https://t.co/FhIEMpj4Cj,,photo
